,propertyType,prices,zipcodes,home_type,tax_year,tax_value,year_built,property_size,home_size,bathrooms,bedrooms,zestimate_amount
480,House,60.0,78723,SingleFamily,2015.0,272913.0,1955.0,9060.0,1316.0,2.0,3.0,324686.0
481,House,75.0,78759,Duplex,2015.0,263130.0,1982.0,8973.0,1962.0,2.0,,341800.0
482,House,89.0,78702,SingleFamily,2015.0,236831.0,1951.0,6734.0,1256.0,1.0,,327530.0
483,House,218.0,78745,Quadruplex,2015.0,250000.0,1982.0,8725.0,3870.0,4.0,,381653.0
484,House,75.0,78704,Condominium,,,,,750.0,1.0,1.0,353463.0
485,House,100.0,78752,SingleFamily,,,,,,,,
486,House,80.0,78757,SingleFamily,2015.0,623343.0,2006.0,9666.0,2707.0,3.0,,688364.0
487,House,50.0,78739,SingleFamily,2015.0,433684.0,1994.0,11020.0,3154.0,3.0,4.0,446309.0
488,House,65.0,78759,SingleFamily,2015.0,265725.0,1976.0,9845.0,1488.0,2.0,,357730.0
489,House,265.0,78727,SingleFamily,2015.0,207194.0,1984.0,5763.0,1498.0,3.0,3.0,251830.0
490,House,125.0,78732,SingleFamily,2015.0,262767.0,1982.0,26476.0,1516.0,2.0,,341104.0
491,House,195.0,78729,Condominium,,,2015.0,,2283.0,,,262029.0
492,House,67.0,78729,SingleFamily,2015.0,334995.0,2011.0,,2142.0,2.0,,315527.0
493,House,125.0,78750,SingleFamily,2015.0,226608.0,1980.0,9967.0,2012.0,2.0,,268993.0
495,House,89.0,78703,SingleFamily,2015.0,2394202.0,1940.0,54014.0,6200.0,6.0,4.0,3939666.0
497,House,40.0,78757,SingleFamily,2015.0,397753.0,1948.0,7214.0,2160.0,3.0,,545053.0
499,House,94.0,78744,SingleFamily,2015.0,93277.0,2014.0,4554.0,1650.0,,,189345.0
500,House,459.0,78704,SingleFamily,2015.0,665239.0,1977.0,18234.0,2737.0,2.0,,770521.0
501,House,125.0,78704,SingleFamily,2015.0,406278.0,1952.0,7200.0,1351.0,2.0,,506538.0
502,House,700.0,78704,SingleFamily,2015.0,618447.0,1955.0,12500.0,2083.0,2.0,3.0,718248.0
503,House,899.0,78704,Duplex,2015.0,434809.0,1977.0,9313.0,2545.0,2.0,,659863.0
504,Townhouse,500.0,78704,Townhouse,2015.0,490594.0,1971.0,,1150.0,1.5,2.0,531565.0
505,House,400.0,78737,SingleFamily,2015.0,461820.0,2014.0,14985.0,3081.0,,,462698.0
507,House,199.0,78704,SingleFamily,2015.0,293432.0,1982.0,9143.0,1000.0,1.0,2.0,374932.0
508,House,300.0,78751,SingleFamily,2015.0,582493.0,2009.0,10459.0,2555.0,4.0,,720228.0
510,House,650.0,78735,SingleFamily,,,,,,,,
511,House,150.0,78736,SingleFamily,2015.0,272258.0,1977.0,89515.0,2700.0,2.0,3.0,386415.0
513,House,700.0,78735,Condominium,2015.0,377581.0,2000.0,15037.0,2075.0,2.0,2.0,406922.0
514,House,25.0,78747,SingleFamily,2015.0,167757.0,2009.0,4273.0,1788.0,3.0,,194137.0
516,House,185.0,78746,SingleFamily,2015.0,3091366.0,2005.0,96616.0,6077.0,5.0,,3772590.0
517,House,1750.0,78737,SingleFamily,2015.0,296872.0,1983.0,67562.0,2071.0,2.0,,438358.0
518,House,625.0,78730,SingleFamily,2015.0,757424.0,1983.0,31406.0,4261.0,4.5,3.0,893466.0
519,House,1200.0,78749,SingleFamily,2015.0,245183.0,1980.0,11356.0,1736.0,2.0,,295811.0
520,House,350.0,78733,SingleFamily,2015.0,719303.0,2002.0,45738.0,3067.0,3.0,,718943.0
522,House,240.0,78746,SingleFamily,2015.0,503995.0,1971.0,43617.0,2408.0,2.0,,665026.0
523,House,635.0,78735,SingleFamily,2015.0,522420.0,1996.0,9744.0,3538.0,3.0,,566362.0
525,House,60.0,78749,SingleFamily,2015.0,256961.0,1988.0,8145.0,1496.0,2.0,3.0,292869.0
526,House,150.0,78736,SingleFamily,2015.0,344772.0,2003.0,10563.0,2366.0,2.0,,360617.0
