,prices,dateAdded,lat,long,propertyType,numBathroom,numBedroom,numBed,numPeople,house_num,street_name,zipcodes
1833,29.0,2016-08-11,30.1771912165,-97.810657068,House,1.0,1.0,1.0,2.0,9200,Chisholm Lane,78748
1834,29.0,2016-08-05,30.173279765,-97.8025933312,Apartment,1.0,1.0,2.0,2.0,715,West Slaughter Lane,78748
1835,595.0,2015-10-28,30.1790130475,-97.8124982515,House,1.0,1.0,1.0,1.0,1308,Texas Oaks Cove,78748
1836,200.0,2016-08-24,30.1831866135,-97.8093973724,House,3.0,3.0,4.0,7.0,8601,Dempsey Lane,78748
1837,30.0,2016-09-19,30.1785581292,-97.8101756209,House,1.0,1.0,1.0,2.0,9006,Chisholm Lane,78748
1838,790.0,2015-10-25,30.1804297633,-97.8119903075,House,1.0,1.0,1.0,1.0,1403,O K Corral,78748
1839,135.0,2015-10-25,30.3207697911,-97.7219891549,House,1.0,1.0,1.0,3.0,203,West 55th Street,78751
1840,82.0,2016-09-19,30.3968119649,-97.7167906274,Apartment,1.0,1.0,1.0,2.0,2600,Esperanza Crossing,78758
1842,499.0,2015-10-31,30.343229173,-97.7173173193,Apartment,1.0,0.0,1.0,2.0,900,Banyon Street,78757
1843,55.0,2016-03-30,30.2026930177,-97.8011331278,House,1.0,1.0,1.0,1.0,1700,Bissel Lane,78745
1845,100.0,2016-08-17,30.1454509864,-97.8523301894,House,1.0,1.0,1.0,2.0,12604,Black Hills Drive,78748
1847,105.0,2016-08-17,30.4765695005,-97.7922056021,Apartment,2.0,1.0,1.0,2.0,10500,Lakeline Mall Drive,78717
1848,35.0,2015-10-28,30.1706485667,-97.819755522,House,2.5,1.0,2.0,2.0,9940,Wading Pool Path,78748
1850,125.0,2016-03-27,30.2803816866,-97.7101190232,Apartment,1.0,0.0,1.0,3.0,1717,Alexander Avenue,78702
1851,27.0,2016-05-23,30.2315739992,-97.8346558766,Apartment,1.0,1.0,1.0,2.0,4600,Monterey Oaks Boulevard,78749
1852,120.0,2016-04-04,30.3981605458,-97.7228841021,Apartment,1.0,1.0,1.0,2.0,11100,Alterra Parkway,78758
1853,393.0,2015-09-14,30.3492938518,-97.8559609109,House,1.0,1.0,1.0,2.0,2906,Padina Drive,78733
1854,95.0,2016-04-04,30.4197730063,-97.9239731988,Apartment,1.0,0.0,1.0,2.0,15903,Allenwood Drive,78734
1855,49.0,2015-10-25,30.1541482763,-97.8031719328,House,1.0,1.0,1.0,2.0,333,Camperdown Elm Drive,78748
1856,105.0,2016-08-23,30.2614755672,-97.76332116,House,1.0,1.0,1.0,2.0,1609,Virginia Avenue,78704
1858,1095.0,2015-10-25,30.2558527214,-97.6864032603,House,1.0,1.0,1.0,2.0,5905,Bolm Road,78721
1859,56.0,2016-03-27,30.2299158337,-97.7222006712,Apartment,1.0,1.0,1.0,2.0,4401,Sheringham Drive,78741
1860,79.0,2016-04-04,30.1783900678,-97.7726474016,Apartment,1.0,1.0,2.0,3.0,7430,Bluff Springs Road,78744
1861,495.0,2016-08-17,30.4308864442,-97.9253983755,House,2.5,4.0,7.0,13.0,16308,Lake Travis Drive,78734
1862,1600.0,2015-09-14,30.4161278857,-97.8924885206,House,2.0,3.0,3.0,8.0,14020,Lakeview Drive,78732
1863,3200.0,2015-10-25,30.250909942,-97.7238014339,House,1.5,2.0,5.0,6.0,2106,Riverview Street,78702
1864,85.0,2016-04-02,30.3551693872,-97.7182529918,House,1.0,0.0,1.0,2.0,8100,Lazy Lane,78757
1865,80.0,2016-08-24,30.3771451244,-97.8012355591,House,1.0,1.0,1.0,2.0,7309,Halbert Drive,78750
1866,400.0,2015-10-13,30.3400773617,-97.8191765328,Apartment,1.5,1.0,1.0,2.0,7007,Oak Shores Drive,78730
1867,500.0,2016-08-17,30.4181380681,-97.9007883137,House,2.0,2.0,1.0,6.0,14515,Ridgetop Terrace,78732
1868,149.0,2015-10-28,30.4165041393,-97.8894262941,Apartment,1.0,2.0,2.0,2.0,13905,Skyline Drive,78732
1869,3500.0,2015-09-19,30.4202949192,-97.9229982908,House,2.0,2.0,3.0,5.0,5800,Beacon Drive,78734
1870,119.0,2016-09-19,30.2729721195,-97.686881642,House,1.5,3.0,2.0,4.0,4903,Mendoza Drive,78721
1871,660.0,2015-09-14,30.3644779474,-97.7871046189,Apartment,1.0,0.0,1.0,2.0,5701,Lakemoore Drive,78731
1872,79.0,2016-04-18,30.2513326815,-97.7232742108,House,1.0,1.0,3.0,4.0,2109,Haskell Street,78702
1873,37.0,2016-04-08,30.3936508,-97.7040802884,Apartment,1.0,1.0,1.0,2.0,11603,Fruitwood Place,78758
1874,20.0,2016-04-08,30.1476955725,-97.7401676149,House,1.0,1.0,1.0,1.0,8921,Edmundsbury Drive,78747
1875,649.0,2016-04-08,30.2780601882,-97.77940025,House,2.0,3.0,4.0,8.0,2604,Stratford Drive,78746
1876,900.0,2015-10-28,30.2798622711,-97.7990414044,House,2.0,5.0,5.0,10.0,403,Indian Spring,78746
1877,600.0,2016-04-04,30.2803191165,-97.8013287862,House,2.5,3.0,4.0,6.0,304,Blueridge Trail,78746
1879,50.0,2016-09-19,30.377963554,-97.7541079434,House,1.0,1.0,2.0,4.0,8505,Greenflint Lane,78759
1880,70.0,2016-09-19,30.4605339658,-97.7816480614,House,1.0,1.0,1.0,2.0,9505,Sherbrooke Street,78729
1881,45.0,2016-04-08,30.2298031493,-97.7180492399,House,2.5,1.0,3.0,3.0,2106,Kirksey Drive,78741
1882,18.0,2016-09-19,30.2218605425,-97.6952619123,House,2.0,1.0,6.0,6.0,7117,Cayenne Lane,78741
1883,39.0,2015-10-25,30.1506453003,-97.7417960847,House,1.0,1.0,2.0,4.0,6732,Derby Downs Drive,78747
1884,42.0,2016-08-05,30.3543628215,-97.7203077118,House,1.0,1.0,1.0,2.0,1400,Dale Drive,78757
1885,55.0,2015-10-28,30.1927556575,-97.7381487524,Apartment,1.0,2.0,4.0,7.0,5201,East Stassney Lane,78744
1886,85.0,2015-10-19,30.3472778286,-97.7302229194,Apartment,1.0,1.0,1.0,2.0,1901,Pasadena Drive,78757
1887,500.0,2015-10-28,30.2727387946,-97.7905453235,House,2.0,2.0,2.0,4.0,4906,Timberline Drive,78746
1888,2000.0,2015-10-28,30.2748180414,-97.7964602359,House,3.0,3.0,6.0,8.0,103,Las Lomas Drive,78746
1889,709.0,2016-09-19,30.2722818618,-97.7935530986,House,3.5,5.0,5.0,10.0,3,Westgate Circle,78746
1890,800.0,2016-09-19,30.2741843746,-97.7836605819,House,3.5,4.0,5.0,8.0,402,Almarion Drive,78746
1891,1500.0,2016-08-17,30.2771565359,-97.7844007405,House,3.0,5.0,4.0,8.0,2904,Hatley Drive,78746
1892,395.0,2016-03-27,30.2647216947,-97.7368065637,Apartment,1.0,1.0,1.0,2.0,602,East 4th Street,78701
1893,600.0,2015-10-25,30.2570290675,-97.7403321828,Apartment,2.0,1.0,2.0,2.0,15,Red River Street,78701
1894,399.0,2016-03-25,30.2595881426,-97.7381556262,Apartment,1.0,1.0,1.0,2.0,87,Rainey Street,78701
1898,259.0,2015-10-25,30.24725643,-97.7507114098,House,1.0,2.0,3.0,6.0,1638,South Congress Avenue,78704
1899,135.0,2016-06-13,30.2808874889,-97.7457483746,Apartment,1.0,1.0,1.0,3.0,1700,Rio Grande Street,78701
1900,850.0,2015-10-25,30.2811323936,-97.7474061852,House,3.0,5.0,7.0,8.0,803,West 17th Street,78701
1901,199.0,2016-03-27,30.2827573442,-97.7487647678,House,2.0,2.0,2.0,6.0,1802,San Gabriel Street,78701
1902,500.0,2016-08-15,30.2688850229,-97.7344461499,Apartment,1.0,1.0,2.0,4.0,700,East 9th Street,78701
1903,165.0,2015-10-25,30.2750642017,-97.7462086095,House,1.0,1.0,1.0,2.0,509,West 12th Street,78701
1904,80.0,2016-02-12,30.2548040645,-97.7452412837,Apartment,1.0,1.0,1.0,4.0,203,East Riverside Drive,78704
1905,2500.0,2016-03-27,30.2652858474,-97.7444274067,Apartment,1.0,1.0,1.0,2.0,101,West 3rd Street,78701
1906,4140.0,2015-10-31,30.2683439933,-97.7413780713,Apartment,1.0,2.0,4.0,6.0,610,Brazos Street,78701
1907,400.0,2016-03-27,30.2800981092,-97.7419233091,House,1.0,1.0,1.0,2.0,1705,Guadalupe Street,78701
1908,459.0,2015-10-31,30.2681142016,-97.7408903933,Apartment,1.5,3.0,4.0,8.0,605,Brazos Street,78701
1909,344.0,2015-10-25,30.2684667891,-97.7414092867,Apartment,1.0,2.0,4.0,6.0,612,Brazos Street,78701
